PartID,FormFactor,StorageBays,Color,SidePanel,Size,PSU
bedcb477-0fd1-4afe-82a7-e993a134bc07,Mini ITX Desktop,0,Silver / Black,Mesh,11.1,
4cfb53d9-5964-4bb8-8578-9561515279f9,ATX Mid Tower,4,Black,Tempered Glass,57.2,
91bcca4a-6b6f-48d7-a1f5-54b577253b7f,ATX Mid Tower,4,White,Tempered Glass,44.2,
3deabc4d-7d7c-4916-b7e0-c2225d87cf67,ATX Mid Tower,2,Black,Tempered Glass,53.7,
5aa53ac0-f69b-4446-a98b-cf123f4f6799,ATX Mid Tower,2,Black,Tempered Glass,39.7,
d9db7ac6-9f37-45ff-80b4-0ffab59eb55c,ATX Mid Tower,2,Black,Tempered Glass,45.8,
9ca317a6-86dc-4e84-b7f1-a1d884ac5dc1,ATX Mid Tower,2,White,Tempered Glass,45.3,
d643ef03-339f-4287-b11b-d5fda094df14,MicroATX Mini Tower,1,White,Acrylic,33.6,
f9c69aec-d31d-429a-b113-2c67af763c2b,ATX Mid Tower,2,,Tempered Glass,55.8,
c2cf8183-af8d-497e-ae24-d4cf2ef7ffe1,ATX Mid Tower,2,Black,Tempered Glass,33.4,
a4cc34fd-1054-4db4-9fde-00c3032e65c6,ATX Full Tower,3,Black,Tempered Glass,54.0,
89fb5fa6-0b02-408a-9347-50fafc2f1e4b,MicroATX Mid Tower,10,Black,Acrylic,41.1,
74325cea-777e-4d39-b4f6-20b351498deb,ATX Full Tower,6,Black,Tinted Tempered Glass,81.5,
f156bfae-7c9c-4c1c-a2a2-d30f59d043a3,ATX Mid Tower,2,,Tempered Glass,55.8,
942d6c70-373f-4dce-ae68-b9b94f4c0a5a,Mini ITX Tower,6,Black / White,,19.5,
740ed476-4735-46a3-89a4-41123b689e8d,ATX Mid Tower,2,White,Tempered Glass,48.6,
b5520799-9036-4fee-8588-42e19b67a5d9,ATX Mid Tower,2,Black,,46.0,
c18e2fa5-cf77-4c22-a866-aec7ef8bf756,MicroATX Mid Tower,2,Black,Tinted Tempered Glass,33.0,
dd50eaa2-980c-4db5-8984-8ca85eef81de,ATX Mid Tower,2,White / Black,Tempered Glass,55.8,
351416d4-f0d0-43e7-a2ba-f6eb0e60d151,MicroATX Mini Tower,2,Black,Tinted Tempered Glass,38.7,
6d17a407-ea9d-4dd0-ac19-6d3367db90dc,ATX Mid Tower,6,Black,,62.4,
002df16e-214f-4525-a660-f01017434433,ATX Mid Tower,2,White,Tempered Glass,46.2,
65187be5-ec40-43a2-a717-cb1aab0324e4,ATX Mid Tower,2,White,Tempered Glass,42.3,
3a529b0a-5812-4f85-9c4f-a69cd45f4b02,ATX Mid Tower,2,,Tempered Glass,52.4,
9cc499db-4a0c-4843-9d77-ff4a1b7c05f9,MicroATX Mini Tower,3,Black,Acrylic,45.6,
8b892c73-d3ca-4407-884f-cf3f2467d63a,ATX Mid Tower,2,Black,Tempered Glass,43.4,
3ba9dde7-8389-4ea7-8ee9-ebfe7b849fbf,MicroATX Mini Tower,3,Black,,33.8,
1a1c5664-992c-4d2a-9d39-8902910cb450,ATX Mid Tower,2,Black,Tinted Tempered Glass,69.8,
49e74508-4aab-4c6b-8112-6391b4dc8720,ATX Mid Tower,2,White,Tempered Glass,,
8a7aff64-3acc-45bc-9bf9-b880406cc7e6,ATX Full Tower,8,Black / Silver,Tempered Glass,141.0,
e99908ab-23bb-4304-8e70-d85b989dc201,MicroATX Mini Tower,3,Black,Tempered Glass,33.0,
a29e7f89-d95d-45af-8bbc-0b66a35889df,ATX Mid Tower,4,White,Tempered Glass,65.5,
184d1617-ce60-467d-9ed2-3fa6eaa35e41,ATX Mid Tower,2,Black,Tempered Glass,37.5,
38c4fc17-a84f-4e6f-ae87-fb487bbd8091,ATX Mid Tower,2,White,Tempered Glass,,
b5a86459-b7c8-447d-b150-42c7619bab0e,ATX Mid Tower,2,Black,Tempered Glass,38.2,
df36f72f-b67f-48dc-acd9-3c72c21dfa19,ATX Mid Tower,2,Black,Tempered Glass,,
dc095c87-e073-4d39-b337-f7337b7d4195,ATX Mid Tower,2,Black,Tempered Glass,37.3,
06590217-eef3-4d95-9c43-87dfeda734dd,MicroATX Mini Tower,2,Black,Acrylic,30.4,
35b3ceb0-a0e9-4c3b-8d7d-6ba9d51e74ec,MicroATX Mini Tower,2,White / Black,Tempered Glass,,
eda74e35-92a6-4adc-a60c-9477c836eef2,ATX Mid Tower,2,Black,Tempered Glass,36.1,
b63f9020-b158-43a9-b6e0-16913a540bf8,ATX Mid Tower,3,Black,Tempered Glass,49.9,
4786d5eb-8a3f-4266-95af-ecfc1405e627,ATX Mid Tower,2,Black,Tempered Glass,,
5538b7c5-ba64-4400-a784-f5238d0000ed,Mini ITX Desktop,2,White,Acrylic,22.4,
