PartID,Cores,BoostClock,CoreClock,Graphics,SMT,TDP,Socket,ChipsetID
e62307ac-8a6e-42b7-9f42-516766d27ff7,4,,3.4,Intel HD Graphics 4600,False,84,FCLGA1150,366
f7590ab4-c2b2-4316-a713-ef2780b1b58f,2,,2.6,,False,65,,367
b8b262fa-4bc4-45cc-8d4e-85535f41de39,16,5.1,2.4,Intel UHD Graphics 770,True,65,FCLGA1700,368
48308f05-802c-409a-87b5-a423dd2e82f6,8,5.2,2.5,,True,65,FCLGA1200,369
098b2735-9ce1-4f8c-ae5b-6fba5af0688b,4,,3.4,Intel HD Graphics 3000,True,95,,370
5e906386-e1f1-4101-8ca1-ff9adf870863,6,4.5,3.1,Intel UHD Graphics 630,True,65,FCLGA1200,371
b45f424a-049c-43f3-8ee8-d48b4e32d22b,2,,3.6,Intel UHD Graphics 610,False,58,FCLGA1200,372
31aa1935-8cc7-4a31-8573-81e504c05106,4,4.4,3.7,Intel UHD Graphics 630,True,65,FCLGA1200,373
b004cf4d-bfeb-4b61-b56d-26f4a4d056dd,2,,3.9,Intel HD Graphics 630,True,51,FCLGA1151,374
78e65fd7-8d43-4442-b263-0e5925d2b477,6,3.8,3.6,,True,140,FCLGA2011-3,375
b89218cd-6bbe-414e-93a9-ac376a81373d,16,4.0,3.4,,True,180,sTR4,376
6eef101a-380e-4f44-a8ef-2c57a6f9d22c,4,4.4,3.7,Intel UHD Graphics 630,True,65,FCLGA1200,377
ce604ee4-c8ca-439f-ac5f-1db41d2fe342,4,4.2,3.6,Intel UHD Graphics 630,False,65,FCLGA1151,378
f59acf4b-d89d-4be0-baf0-0caec8fa8f0f,6,5.0,4.0,Intel UHD Graphics 630,True,95,,379
80041fda-7dcb-4b05-ba86-8a1a325fb61e,10,5.2,2.8,,True,65,FCLGA1200,380
38562e92-240f-4309-9be4-26dc63b3052e,16,4.4,3.5,,True,180,sTR4,381
f0beac77-e51d-4739-a956-5d7c844e435f,1,,1.6,Intel HD Graphics,False,35,,382
33352890-e320-4e0e-b819-4514ab9e7632,2,,2.8,,False,65,AM3,383
cf07aa0b-cae5-4686-a003-2fd191dd46e3,4,4.1,3.5,Intel HD Graphics 630,False,65,FCLGA1151,384
4949042c-e85a-43a2-8519-7ab9779e6b6b,8,3.4,2.6,,True,90,,385
e44a167f-71c6-4fb8-b92b-2d8342a7e434,10,4.5,3.3,,True,140,FCLGA2066,386
e6869eef-c4de-4f0a-a942-95b737ed0fc9,8,5.0,3.6,Intel UHD Graphics 630,True,95,,387
5f171a90-1676-4e4b-9c8a-66718be36e16,10,5.2,2.8,Intel UHD Graphics 630,True,65,FCLGA1200,388
