PartID,Price,Manufacturer,Model
1b736259-830e-449c-b8c3-00f8e64e65a3,49.0,Intel,Core i3-2100
6e2d1fba-ea47-4019-ae24-8e17a6266882,230.74,Intel,Core i5-9500
798043c5-add0-4331-bc83-bf7929debd80,299.88,Intel,Core i5-8400
1cf6284a-be6e-4a60-a6b0-01569670b171,575.0,Intel,Core i9-9900
60ebd842-ea03-4d19-9e94-7d3cd339166a,350.0,Intel,Core i9-11900
d5dc2b78-cc7e-4a56-a8b5-8c824c66f2b4,55.0,Intel,Core i5-4440S
0ef0607b-d4f6-420c-a914-6aceaaab221a,351.86,Intel,Core i7-7820X
bc8b60d0-96b5-49ec-817d-9ccd0618b574,239.46,AMD,Threadripper 1900X
648c569e-23ae-4d02-9080-19438ffa897e,39.0,Intel,Celeron G4930
4d1f835a-81b6-4ed7-936e-06139d49bec5,50.12,Intel,Core i3-4130
57b194c6-977a-4c21-80a9-f6cb5c81f799,132.25,AMD,Athlon 200GE
c5d25321-3ed5-495d-9e8f-1c5ecb1aaa3b,302.58,AMD,FX-9590
6e24b53e-b1b0-491a-9a0a-9008cfb348fb,499.99,Intel,Core i7-7800X
57100772-fc0d-4f6a-9c64-e04d174756cc,239.86,Intel,Core i5-8600
1a37243d-ac67-43b0-8911-fa91ce6cc8b0,234.98,AMD,FX-8370
eec46244-896d-49d6-835c-565a90f1129c,1975.0,Intel,Xeon E5-2680 V4
992b5711-f46f-461a-baca-97dbf4dabe24,148.0,Intel,Core i7-4930K
71e3a66f-02e7-46f9-b99f-75ecbfd65b62,98.22,AMD,Ryzen 3 1200 (12nm)
9a541df2-b0c9-428e-b885-081bbf9d06d7,344.0,Intel,Core i7-7700
6b836c9e-962e-4b0d-bc90-cd86bb616695,305.43,Intel,Core i5-10600
4bd1b7b0-a0e1-4762-9a2f-86dcfd988639,14.99,Intel,Celeron E3500
aee92b98-0ac9-4509-91a6-eaef78f2451f,50.0,Intel,Core i3-2120
330d546f-0530-412b-88ed-29c98163f139,784.7,Intel,Core i9-10920X
