PartID,Socket,FormFactor,MaxMemory,MemorySlots,Color
42605d0e-0d91-4763-8454-22b50f0cbaab,LGA1200,0,128,4,Silver / Black
6626ca67-2658-4e7b-8a81-02511eb4a544,LGA1700,0,192,4,Silver / Black
42aedaa3-5f1b-46cb-b03c-85681a5e9142,LGA1700,2,96,2,Black / Silver
43dc3f7f-67b8-46a0-b4ae-d90e0b65af05,AM4,1,32,2,Black / White
4ee9c9f3-768e-47c0-868e-e476036b3b69,LGA1700,0,192,4,Black
a577eac7-817d-4355-a9f3-43b2fe3118bc,AM4,1,64,2,Brown / Silver
375d0d30-20e0-4bfc-a356-5a42a33bdab4,AM4,0,128,4,Black
f0c57f77-a18f-4725-bf56-3d5f0df889fd,LGA1700,0,128,4,Black / Silver
19c5816d-cffa-42e0-8584-0b3a2680844c,LGA1151,0,128,4,Black
37517617-a332-4ac8-99a1-bbda7629d664,AM4,1,128,4,Black / White
e8c2c0e3-77bf-4005-99c5-90b2e318d0af,LGA1700,0,192,4,Black
491eb2f8-e53f-449c-99b8-e06d7c524d93,LGA1700,2,96,2,Black / Silver
6718b948-e060-49c4-a090-3b40d3772aea,LGA1700,0,128,4,Silver / Black
c7b23f9c-4d17-4590-8f78-cab0ac386bfe,AM5,3,192,4,Black / Gold
39a76e6b-18f2-4d09-b415-e2185da63d33,AM5,0,192,4,Black
b3fb4112-e7fc-44af-88d3-026958a3335f,LGA1700,0,128,4,White / Black
ef77c7de-9dae-4506-8842-5381cffd9991,AM5,1,192,4,Black
b207f05d-a97b-4f5d-b2cd-fa78e1f9d25b,LGA1700,1,128,4,Black
e35f91cd-907e-4b5c-b266-e020e37b8731,LGA1700,2,96,2,Black
55ef6a6a-a75f-4238-a996-2018ad32fa3c,AM5,2,96,2,Black / Red
4a475f47-ca77-4416-b519-a48f97d89510,LGA1700,2,64,2,Black / Gray
ae8d951c-26a7-4909-a699-0ca1ba86b295,AM4,1,64,2,Black / Silver
8e4e3c92-34ae-4239-8272-311558ac644e,AM5,1,192,4,Black
b32ea887-9319-44f6-9e91-9c50731e3338,LGA1700,0,192,4,Black
4e91961a-09cd-49bc-8481-182d9c891436,LGA1700,1,64,2,Silver / Black
3f549f36-9fb6-4787-b6b4-4ffb4a660979,LGA1700,3,192,4,Gold / Black
