PartID,CoreClock,BoostClock,Memory,Chipset,Length,Color,TDP,ChipsetID
80abff77-cf3f-416f-a621-7127b6168046,2150.0,2623.0,12.0,Radeon RX 6750 XT,281.0,Black / Gray,,20
b511a2b7-ebc9-430b-b4cc-5a5a814add84,2205.0,2520.0,16.0,GeForce RTX 4080,356.0,Black,,17
bec75816-04aa-46a8-9c3c-304254254020,902.0,927.0,2.0,GeForce GT 730,148.0,Blue,49.0,40
c13e883c-c4df-4e45-a773-095095135192,1968.0,,8.0,Radeon RX 6600 XT,305.0,Black,160.0,35
8ab60090-eb6d-4d0d-9936-c50caf86ad56,2235.0,2640.0,24.0,GeForce RTX 4090,293.0,Black / Silver,,8
563d64cc-80b0-4192-aae7-e5f6c43a90d7,2457.0,2622.0,12.0,Radeon RX 6700 XT,305.0,Silver / Black,230.0,3
95af38bb-ebf1-47d9-a8a8-c13b3c30b1a5,1550.0,,8.0,GeForce RTX 3050 8GB,235.0,Black,,34
906e4ee0-058e-486f-b050-4a5acf6e94f1,1830.0,2490.0,8.0,GeForce RTX 4060,221.0,White,,15
89b805ee-afab-46c7-8673-7a36b123e851,2205.0,2505.0,16.0,GeForce RTX 4080,332.0,Black,,17
e458b393-f075-4408-9d79-1347fbf955c3,2205.0,2610.0,16.0,GeForce RTX 4080,337.0,White,,17
615c8a00-103b-4b04-be3c-e11b2a65479c,1440.0,1935.0,10.0,GeForce RTX 3080 10GB LHR,318.0,Black,,41
3cbeaacb-85d5-4fe2-8440-02457711487b,1500.0,1800.0,8.0,GeForce RTX 3070 LHR,267.0,Black,,27
8c5a0543-6de2-4cc9-ad51-5337c4624799,1550.0,1852.0,8.0,GeForce RTX 3050 8GB,200.0,Black,,34
e1025a6d-9990-46ef-a675-e75f00b999c0,1341.0,1455.0,4.0,GeForce GTX 1050 Ti,215.0,Black / White,75.0,42
fd002624-1193-4de7-9060-8adc610d0e00,1560.0,1860.0,24.0,GeForce RTX 3090 Ti,313.0,Silver / Black,450.0,43
475847ff-dc70-4cfa-9cdb-25e6b27ea55e,1320.0,1837.0,12.0,GeForce RTX 3060 12GB,276.0,Black / Silver,,1
cab2705f-3404-4dca-bea8-3c71a94d5198,2310.0,2825.0,4.0,Radeon RX 6500 XT,250.0,Black,,44
74da75d7-5c79-4137-9ee4-2d3ae135c609,1700.0,2599.0,12.0,Radeon RX 7700 XT,302.0,Black,,45
26a72f8f-0953-4a77-b866-95460f02d8e5,2000.0,2400.0,20.0,Radeon RX 7900 XT,276.0,Black,,16
67e3709a-80d0-4d77-acbe-f106bdf7c670,2300.0,2525.0,24.0,Radeon RX 7900 XTX,331.0,Black,,9
15547344-1e77-465f-8e55-b1665a523b14,2055.0,2635.0,8.0,Radeon RX 6650 XT,240.0,Red / Black,,14
d47554a9-fa77-4d78-ab0b-4dabe8f42615,1455.0,1860.0,48.0,RTX A6000,267.0,Black / Gold,300.0,46
ea95cd4e-2818-45cc-b8ca-b8dc73d58189,2310.0,2760.0,12.0,GeForce RTX 4070 Ti,300.0,Black / Gold,,4
1de1f107-e108-4ca2-8a75-5758fcbcce82,1626.0,2491.0,8.0,Radeon RX 6600,235.0,Black / Silver,,7
98953a9b-10ac-46f8-a218-df0a8af90c12,1410.0,1620.0,4.0,GeForce GTX 1650 G6,178.0,Black / Silver,,28
63b8463a-a2ce-4e72-8c2f-68865eb2feb6,2235.0,2580.0,24.0,GeForce RTX 4090,356.0,Black / Silver,,8
0b30e36b-c771-4f6a-92f4-2943d3db3268,2321.0,,12.0,Radeon RX 6700 XT,282.0,Black,230.0,3
dda53707-bd83-4d62-a9ad-eac3d3f0e16a,2205.0,2625.0,16.0,GeForce RTX 4080,300.0,Black / Gold,,17
608c84ff-34ce-412e-94fc-c30b30e2fc90,2205.0,2625.0,16.0,GeForce RTX 4080,348.0,Black,,17
c3be0cce-eea4-4015-8e3a-1421e90013c8,2310.0,2595.0,16.0,GeForce RTX 4060 Ti,281.0,White / Silver,,13
6aa11a61-54b2-424f-8ef0-5387aecc3988,1365.0,1785.0,6.0,GeForce RTX 2060,242.0,Black,160.0,24
97a66204-e1a3-467c-a159-26f6f89ed1c9,1320.0,1807.0,8.0,GeForce RTX 3060 8GB,235.0,Black,,33
950accb2-3cc3-4397-bf4e-c13efcbe6074,2310.0,2595.0,8.0,GeForce RTX 4060 Ti,227.0,White,,13
56ee6ed6-5149-4d1a-937e-3dfc8d62df7f,1575.0,1830.0,8.0,GeForce RTX 3070 Ti,320.0,Black / Silver,290.0,21
aebfc604-e1d8-4b03-b2c4-8c81a8f2c9c4,2310.0,2610.0,12.0,GeForce RTX 4070 Ti,305.0,Black,,4
22a98f81-6b18-4379-96a8-87e482f51eba,2310.0,,8.0,GeForce RTX 4060 Ti,199.0,Black,,13
f17ed6ea-0e30-4688-9978-8aec6766028a,1575.0,1860.0,8.0,GeForce RTX 3070 Ti,300.0,Black,290.0,21
c50684bc-bd68-4d7c-9ac8-7b8c8310c4b8,1410.0,1755.0,8.0,GeForce RTX 3060 Ti,286.0,Black / Silver,200.0,11
ccc347a8-9bd3-4f46-b932-f6f4a7e9252a,1530.0,1830.0,6.0,GeForce GTX 1660 SUPER,247.0,Black,125.0,22
cd05b86e-bae0-4fa4-aadd-06a8e2eac759,2055.0,2694.0,8.0,Radeon RX 6650 XT,278.0,Silver / Black,,14
d8ae6dea-9f81-4ecd-afeb-8634a917acec,1605.0,1770.0,8.0,GeForce RTX 2070 SUPER,267.0,Silver,215.0,47
f7738707-876b-4f0e-8c4b-26281f3e1cd7,1320.0,1882.0,12.0,GeForce RTX 3060 12GB,202.0,Black,,1
263cd902-1cff-48d3-a64e-314bb0988ca8,1395.0,1890.0,24.0,GeForce RTX 3090,318.0,Black,350.0,31
de9a7c14-cd97-4ff0-987b-b489b99adf0d,2235.0,2550.0,24.0,GeForce RTX 4090,358.0,White,,8
bd202e45-268b-4c1f-b650-8ea151a634cc,1720.0,2725.0,8.0,Radeon RX 7600,303.0,White,,26
cdada39e-c03e-4876-9e9c-4e3a23d27bed,1410.0,1695.0,8.0,GeForce RTX 3060 Ti LHR,316.0,Black / Gray,,30
b9b4cc17-bdcc-4408-9f7a-5a5c0844b189,2000.0,2400.0,20.0,Radeon RX 7900 XT,276.0,Black,,16
ded618e6-fb97-4201-bd86-7d7ac5ed393b,2310.0,2790.0,12.0,GeForce RTX 4070 Ti,338.0,Black / Silver,,4
eb4973ed-4e51-4cb3-9d6b-7dc929f4dba2,1470.0,1665.0,8.0,GeForce RTX 2060 SUPER,232.0,Silver / Black,175.0,48
4ec41c5b-e145-4589-a6a2-e27af93c9771,1720.0,2655.0,8.0,Radeon RX 7600,212.0,Black,,26
cc67356a-38b0-48d6-92a5-12e52637ffb2,2000.0,,20.0,Radeon RX 7900 XT,353.0,Black,,16
321af97e-6121-415a-a762-d167eef4e240,1875.0,2755.0,8.0,Radeon RX 7600,272.0,Black,,26
